551,156,0.000737,7.00308,12
426,173,0.000442,2.99131,15
413,189,0.000475,1.96218,13
448,207,0.000481,1.688,17
16,16,1.8e-05,0.0503049,10
396,152,0.000434,1.15603,12
411,168,0.000457,1.01637,14
96,27,0.000123,0.274482,11
546,87,0.000606,1.11571,7
601,119,0.000673,1.08444,13
90,57,0.000125,0.157068,15
535,141,0.00054,0.817024,11
79,47,0.000109,0.100957,13
477,146,0.000476,0.631585,14
66,39,9.3e-05,0.0800702,13
476,146,0.000507,0.567844,10
81,44,0.000115,0.0908461,10
46,37,5.7e-05,0.0648739,19
376,160,0.000376,0.418071,18
409,190,0.000437,0.421735,16
512,132,0.000525,0.492311,14
442,166,0.000464,0.389295,10
453,181,0.000516,0.387865,15
623,198,0.000654,0.519113,14
389,189,0.000418,0.289141,13
406,187,0.000461,0.294086,15
436,203,0.000672,0.303705,15
17,15,2.1e-05,0.0105415,7
385,165,0.00039,0.251871,13
517,140,0.000529,0.336111,16
135,38,0.000181,0.10418,14
67,34,8.1e-05,0.0479668,12
432,194,0.000463,0.256565,16
415,195,0.000451,0.238292,13
496,162,0.000512,0.279803,14
111,79,0.000139,0.0704979,17
560,98,0.000556,0.297127,14
521,148,0.000601,0.267997,14
442,176,0.000432,0.213137,12
443,211,0.00046,0.213649,13
383,140,0.000338,0.168011,8
65,45,7.9e-05,0.0354916,19
485,155,0.000433,0.213257,11
508,222,0.000514,0.215459,16
508,130,0.000466,0.214608,14
409,184,0.000413,0.171251,20
19,18,1.9e-05,0.00910198,14
417,167,0.00041,0.164867,15
524,149,0.000623,0.203677,11
441,198,0.000491,0.17632,16
485,174,0.000501,0.18323,12
88,49,0.000114,0.035184,15
568,101,0.000561,0.2011,11
435,206,0.000458,0.15951,16
532,132,0.000509,0.180319,12
43,36,8.3e-05,0.0165968,16
469,180,0.000437,0.156088,8
100,62,0.000131,0.0359347,12
80,55,0.0001,0.0296236,17
68,46,8.8e-05,0.0216458,16
508,219,0.000466,0.15886,19
390,153,0.000423,0.117859,13
607,195,0.000585,0.19346,15
406,188,0.000407,0.123456,18
158,68,0.000185,0.0647659,14
20,20,2.3e-05,0.00699885,16
626,129,0.000635,0.188764,17
454,197,0.000503,0.130515,15
62,41,6.8e-05,0.0200033,19
412,170,0.00044,0.109296,10
489,158,0.000483,0.133855,16
374,166,0.000382,0.0965821,16
400,181,0.000403,0.106728,15
400,178,0.000402,0.101808,18
369,175,0.000378,0.0902987,11
437,176,0.000434,0.110709,20
379,164,0.000418,0.0902719,14
448,194,0.000419,0.110448,16
433,194,0.000464,0.101085,10
425,193,0.000423,0.10023,17
564,129,0.000588,0.129923,11
437,197,0.000458,0.10315,21
57,39,6e-05,0.0112187,11
18,17,2e-05,0.00481836,13
367,149,0.000444,0.0777678,7
547,175,0.000708,0.12541,17
397,179,0.000671,0.0839452,11
568,175,0.000591,0.127644,17
365,168,0.000382,0.0726724,8
494,150,0.000484,0.102405,12
552,151,0.000543,0.118854,21
441,208,0.000461,0.090788,18
474,176,0.000449,0.0965484,12
552,152,0.000527,0.111273,14
398,152,0.000402,0.0763296,12
392,161,0.000375,0.0736268,17
608,186,0.000554,0.119173,8
48,29,7.7e-05,0.00790036,9
580,104,0.000513,0.110471,14
435,199,0.000417,0.0804259,13
